jour,anxiété,plaisir,ennui,vide
14,1,0,0,0
14,0,0,1,0
14,0,0,0,1
14,0,0,0,1
14,0,1,0,0
14,0,0,1,0
14,0,1,0,0
14,0,1,0,0
14,1,0,0,0
14,1,0,0,0
15,0,0,1,0
15,0,1,0,0
15,1,0,0,0
15,1,0,0,0
15,0,1,0,0
15,0,0,0,1
15,0,0,1,0
15,0,0,0,1
15,0,0,0,1
15,0,1,0,0
15,1,0,0,0
15,0,1,0,0
15,0,1,0,0
15,0,0,1,0
15,0,1,0,0
15,0,0,0,1
15,0,0,0,1
15,0,0,1,0
15,0,0,1,0
15,1,0,0,0
15,0,1,0,0
16,0,0,1,0
16,0,1,0,0
17,0,1,0,0
17,0,1,0,0
17,0,0,1,0
17,0,0,1,0
17,1,0,0,0
17,0,0,0,1
17,0,1,0,0
17,0,1,0,0
17,1,0,0,0
17,0,0,1,0
17,0,0,1,0
17,0,0,1,0
17,0,0,1,0
17,0,0,1,0
17,1,0,0,0
17,1,0,0,0
17,0,0,0,1
17,0,0,0,1
17,0,0,0,1
17,0,0,0,1
17,0,0,1,0
17,0,0,1,0
17,0,1,0,0
17,0,1,0,0
17,0,0,1,0
17,0,0,1,0
17,0,1,0,0
17,0,1,0,0
17,0,0,0,1
17,0,0,0,1
17,0,1,0,0
17,0,0,0,1
18,0,0,1,0
18,0,0,1,0
18,0,0,0,1
18,0,0,0,1
18,0,0,0,1
18,0,1,0,0
18,1,0,0,0
18,1,0,0,0
18,0,1,0,0
18,0,1,0,0
18,0,0,0,1
18,0,0,0,1
18,0,0,1,0
18,1,0,0,0
18,1,0,0,0
18,0,1,0,0
18,0,0,0,1
19,0,0,0,1
19,0,1,0,0
20,0,0,1,0
20,0,0,1,0
20,0,0,1,0
21,0,0,0,1
21,0,0,0,1
21,0,0,1,0
21,0,0,1,0
21,1,0,0,0
21,1,0,0,0
21,0,0,0,1
21,0,0,1,0
21,0,0,1,0
21,0,1,0,0
21,0,1,0,0
21,0,0,0,1
21,0,0,0,1
21,0,0,1,0
21,1,0,0,0
21,1,0,0,0
21,0,0,0,1
21,0,0,0,1
21,0,0,1,0
21,0,0,1,0
21,0,0,1,0
21,0,0,1,0
21,0,1,0,0
21,0,1,0,0
21,0,1,0,0
21,0,1,0,0
21,1,0,0,0
21,0,0,0,1
