jour,emotion,poids
14,anxiete,5
14,ennui,3
14,vide,2
14,vide,4
14,plaisir,3
14,ennui,4
14,plaisir,5
14,plaisir,2
14,anxiete,6
14,anxiete,7
15,ennui,3
15,plaisir,4
15,anxiete,5
15,anxiete,3
15,plaisir,2
15,vide,2
15,ennui,undefined
15,vide,undefined
15,vide,4
15,plaisir,2
15,anxiete,5
15,plaisir,7
15,plaisir,3
15,ennui,8
15,plaisir,1
15,vide,3
15,vide,4
15,ennui,3
15,ennui,5
15,anxiete,2
15,plaisir,6
16,ennui,7
16,plaisir,2
17,plaisir,4
17,plaisir,3
17,ennui,2
17,ennui,2
17,anxiete,3
17,vide,2
17,plaisir,4
17,plaisir,6
17,anxiete,3
17,ennui,3
17,ennui,5
17,ennui,5
17,ennui,2
17,ennui,2
17,anxiete,1
17,anxiete,4
17,vide,4
17,vide,4
17,vide,3
17,vide,2
17,ennui,3
17,ennui,6
17,plaisir,2
17,plaisir,8
17,ennui,3
17,ennui,3
17,plaisir,3
17,plaisir,4
17,vide,5
17,vide,2
17,plaisir,3
17,vide,1
18,ennui,1
18,ennui,4
18,vide,5
18,vide,6
18,vide,2
18,plaisir,2
18,anxiete,2
18,anxiete,3
18,plaisir,4
18,plaisir,4
18,vide,2
18,vide,3
18,ennui,4
18,anxiete,2
18,anxiete,2
18,plaisir,3
18,vide,3
19,vide,3
19,plaisir,1
20,ennui,1
20,ennui,5
20,ennui,2
21,vide,4
21,vide,3
21,ennui,2
21,ennui,4
21,anxiete,5
21,anxiete,2
21,vide,3
21,ennui,4
21,ennui,4
21,plaisir,1
21,plaisir,1
21,vide,2
21,vide,2
21,ennui,3
21,anxiete,1
21,anxiete,1
21,vide,3
21,vide,4
21,ennui,5
21,ennui,2
21,ennui,6
21,ennui,2
21,plaisir,6
21,plaisir,2
21,plaisir,4
21,plaisir,4
21,anxiete,3
21,vide,2
