jour,tempsAttente,dureeTrajet,typeTransport
12,0,10,pied
12,2,2,bus
12,3,14,train
12,8,27,train
12,0,2,pied
13,55,7,train
13,0,10,pied
13,0,10,pied
13,17,7,train
13,5,42,train
13,6,10,bus
13,0,10,pied
14,0,5,pied
14,10,14,bus
14,6,12,metro
14,7,12,metro
14,0,29,pied
15,0,5,pied
15,7,14,bus
15,2,12,metro
15,5,12,metro
15,15,8,bus
15,0,11,pied
16,0,10,pied
16,7,10,bus
16,0,12,pied
16,0,15,train
16,0,3,pied
16,4,18,train
16,0,14,pied
17,0,12,pied
17,7,12,bus
17,0,7,pied
17,10,12,metro
17,5,12,metro
17,15,8,bus
18,0,10,pied
18,6,11,bus
18,0,4,pied
