"Offence","Canton","Level of completion","Level of detection","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Unauthorised obtaining of data (Art. 143)","Switzerland","Level of completion - total","Level of detection - total",191,446,1700,1852,1221,664,767,975,1063,1151,800,776
"Unauthorised obtaining of data (Art. 143)","Z�rich","Level of completion - total","Level of detection - total",68,89,430,264,231,98,111,192,202,325,184,226
"Unauthorised obtaining of data (Art. 143)","Bern / Berne","Level of completion - total","Level of detection - total",28,27,212,403,284,134,176,208,141,144,105,105
"Unauthorised obtaining of data (Art. 143)","Luzern","Level of completion - total","Level of detection - total",8,76,87,120,45,49,31,36,45,31,46,24
"Unauthorised obtaining of data (Art. 143)","Uri","Level of completion - total","Level of detection - total",0,0,0,1,0,0,0,0,0,1,1,3
"Unauthorised obtaining of data (Art. 143)","Schwyz","Level of completion - total","Level of detection - total",1,4,21,16,7,6,9,14,16,15,14,17
"Unauthorised obtaining of data (Art. 143)","Obwalden","Level of completion - total","Level of detection - total",0,2,0,2,2,0,5,6,11,11,10,5
"Unauthorised obtaining of data (Art. 143)","Nidwalden","Level of completion - total","Level of detection - total",0,1,2,4,1,5,0,1,5,4,2,4
"Unauthorised obtaining of data (Art. 143)","Glarus","Level of completion - total","Level of detection - total",0,0,0,1,0,1,1,0,1,1,0,0
"Unauthorised obtaining of data (Art. 143)","Zug","Level of completion - total","Level of detection - total",4,1,47,76,23,5,25,17,22,18,21,24
"Unauthorised obtaining of data (Art. 143)","Fribourg / Freiburg","Level of completion - total","Level of detection - total",16,104,102,61,46,18,52,62,120,55,44,38
"Unauthorised obtaining of data (Art. 143)","Solothurn","Level of completion - total","Level of detection - total",4,7,75,119,32,27,28,35,46,41,23,26
"Unauthorised obtaining of data (Art. 143)","Basel-Stadt","Level of completion - total","Level of detection - total",9,7,283,178,65,62,67,77,82,97,65,45
"Unauthorised obtaining of data (Art. 143)","Basel-Landschaft","Level of completion - total","Level of detection - total",1,8,62,43,31,37,4,8,66,16,16,10
"Unauthorised obtaining of data (Art. 143)","Schaffhausen","Level of completion - total","Level of detection - total",0,0,1,6,8,5,2,9,13,9,9,12
"Unauthorised obtaining of data (Art. 143)","Appenzell Ausserrhoden","Level of completion - total","Level of detection - total",2,0,4,59,5,7,1,7,6,8,8,3
"Unauthorised obtaining of data (Art. 143)","Appenzell Innerrhoden","Level of completion - total","Level of detection - total",0,0,0,0,1,0,1,1,1,0,2,1
"Unauthorised obtaining of data (Art. 143)","St. Gallen","Level of completion - total","Level of detection - total",7,9,62,105,57,29,27,42,51,39,34,30
"Unauthorised obtaining of data (Art. 143)","Graub�nden / Grigioni / Grischun","Level of completion - total","Level of detection - total",1,2,55,7,13,6,27,13,9,13,7,11
